1,Accept,Прийняти,Принять,Aceptar,2022-10-25 21:09:52,2022-10-25 21:09:52
2,Achieve,Досягти,Достичь,Lograr,2022-10-25 21:09:52,2022-10-25 21:09:52
3,Admit,Визнати,Признать,Admitir,2022-10-25 21:09:52,2022-10-25 21:09:52
4,Affect,Вплинути,Влиять,Afectar,2022-10-25 21:09:52,2022-10-25 21:09:52
5,Afford,Дозволити,Позволить,Pagar,2022-10-25 21:09:52,2022-10-25 21:09:52
6,Agree,Погодитися,Согласиться,De Acuerdo,2022-10-25 21:09:52,2023-03-06 13:17:24
7,Allow,Дозволити,Разрешить,Permitir,2022-10-25 21:09:52,2022-10-25 21:09:52
8,Answer,Відповісти,Ответить,Responder,2022-10-25 21:09:52,2022-10-25 21:09:52
9,Apply,Застосувати,Применить,Aplicar,2022-10-25 21:09:52,2022-10-25 21:09:52
10,Argue,Затверджувати,Утверждать,Argumentar,2022-10-25 21:09:52,2022-10-25 21:09:52
11,Arrange,Упорядкувати,Упорядочить,Organizar,2022-10-25 21:09:52,2022-10-25 21:09:52
12,Arrive,Прибути,Прибыть,Llegar,2022-10-25 21:09:52,2022-10-25 21:09:52
13,Ask,Запитати,Спросить,Preguntar,2022-10-25 21:09:52,2022-10-25 21:09:52
14,Avoid,Уникнути,Избежать,Evitar,2022-10-25 21:09:52,2022-10-25 21:09:52
15,Become,Стати,Стать,Convertirse,2022-10-25 21:09:52,2022-10-25 21:09:52
16,Begin,Почати,Начать,Comenzar,2022-10-25 21:09:52,2022-10-25 21:09:52
17,Believe,Вірити,Верить,Creer,2022-10-25 21:09:52,2022-10-25 21:09:52
18,Build,Побудувати,Построить,Construir,2022-10-25 21:09:52,2022-10-25 21:09:52
19,Buy,Купити,Купить,Comprar,2022-10-25 21:09:52,2022-10-25 21:09:52
20,Call,Зателефонувати,Позвонить,Llamar,2022-10-25 21:09:52,2022-10-25 21:09:52
21,Care,Догляд,Уход,Cuidar,2022-10-25 21:09:52,2022-10-25 21:09:52
22,Carry,Нести,Нести,Llevar,2022-10-25 21:09:52,2022-10-25 21:09:52
23,Catch,Зловити,Поймать,Atrapar,2022-10-25 21:09:52,2022-10-25 21:09:52
24,Cause,Причина,Причина,Causar,2022-10-25 21:09:52,2022-10-25 21:09:52
25,Change,Змінити,Изменить,Cambiar,2022-10-25 21:09:52,2022-10-25 21:09:52
26,Check,Перевірити,Проверить,Comprobar,2022-10-25 21:09:52,2022-10-25 21:09:52
27,Choose,Вибрати,Выбрать,Elegir,2022-10-25 21:09:52,2023-03-06 13:17:24
28,Clear,Очистити,Очистить,Borrar,2022-10-25 21:09:52,2023-03-06 13:17:24
29,Clean,Очистити,Очистить,Limpiar,2022-10-25 21:09:52,2023-03-06 13:17:24
30,Collect,Зібрати,Собрать,Recoger,2022-10-25 21:09:52,2023-03-06 13:17:24
31,Come,Прийти,Прийти,Venir,2022-10-25 21:09:52,2023-03-06 13:17:24
32,Complain,Поскаржитися,Пожаловаться,Quejarse,2022-10-25 21:09:52,2023-03-06 13:17:24
33,Complete,Завершити,Завершить,Completar,2022-10-25 21:09:52,2023-03-06 13:17:24
34,Consist,Складати,Состоять,Consistir,2022-10-25 21:09:52,2023-03-06 13:17:24
35,Contain,Утримувати,Содержать,Contener,2022-10-25 21:09:52,2023-03-06 13:17:24
36,Continue,Продовжити,Продолжить,Continuar,2022-10-25 21:09:52,2023-03-06 13:17:24
37,Contribute,Внести,Внести,Contribuir,2022-10-25 21:09:52,2023-03-06 13:17:24
38,Control,Контроль,Контроль,Controlar,2022-10-25 21:09:52,2023-03-06 13:17:24
39,Correct,Виправити,Исправить,Corregir,2022-10-25 21:09:52,2023-03-06 13:17:24
40,Cost,Вартість,Стоимость,Costar,2022-10-25 21:09:52,2023-03-06 13:17:24
41,Could,Може,Может,Podría,2022-10-25 21:09:52,2023-03-06 13:17:24
42,Enjoy,Насолоджуйтесь,Наслаждайтесь,Disfrutar,2022-10-25 21:09:52,2023-03-06 13:17:24
43,Create,Створити,Создать,Crear,2022-10-25 21:09:52,2023-03-06 13:17:24
44,Exist,Існувати,Существовать,Existir,2022-10-25 21:09:52,2023-03-06 13:17:24
45,Cross,Хрест,Крест,Cruzar,2022-10-25 21:09:52,2023-03-06 13:17:24
46,Expect,Очікувати,Ожидать,Esperar,2022-10-25 21:09:52,2023-03-06 13:17:24
47,Cut,Вирізати,Вырезать,Cortar,2022-10-25 21:09:52,2023-03-06 13:17:24
